IdOpinion,IdCliente,IdProducto,Fecha,Comentario,Clasificación,PuntajeSatisfacción,Fuente
1,8537,366,2025-07-15,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
2,2721,667,2024-12-07,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
3,8424,953,2025-06-20,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
4,9672,961,2025-08-17,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
5,8018,607,2024-10-22,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
6,6119,89,2025-03-06,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
7,4890,478,2025-07-19,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
8,415,388,2025-02-06,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
9,6110,970,2024-09-19,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
10,8693,48,2025-05-29,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
11,9269,74,2025-02-07,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
12,3734,34,2025-05-30,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
13,3629,930,2025-04-27,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
14,1953,369,2025-06-23,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
15,253,385,2025-04-05,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
16,8697,750,2025-04-25,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
17,2756,339,2024-12-03,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
18,9132,390,2025-01-21,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
19,1370,393,2024-12-07,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
20,6506,271,2025-01-15,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
21,8571,835,2025-03-04,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
22,3635,977,2025-04-13,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
23,3407,712,2025-01-30,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
24,7342,386,2025-07-13,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
25,6272,27,2025-07-24,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
26,3318,654,2025-08-20,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
27,552,383,2025-04-12,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
28,6660,592,2025-04-08,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
29,539,957,2025-08-06,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
30,6473,144,2025-02-12,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
31,7512,765,2024-12-26,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
32,6558,953,2024-09-14,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
33,2699,19,2024-09-18,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
34,996,340,2025-09-10,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
35,5820,771,2024-12-04,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
36,8344,733,2024-12-11,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
37,943,705,2025-07-20,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
38,6554,477,2025-08-29,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
39,5662,513,2025-04-02,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
40,9665,701,2025-07-16,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
41,3803,446,2025-01-19,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
