IdComment,IdCliente,IdProducto,Fuente,Fecha,Comentario
T0001,C019,P003,Instagram,2025-06-15,"Información suficiente, sin mayor novedad"
T0002,,P006,Twitter,2025-08-27,"Muy mala calidad, se rompió rápido"
T0003,,P008,Instagram,2025-07-28,Gran relación calidad-precio
T0004,,P015,Twitter,2025-09-05,Pésima atención al cliente
T0005,C031,P010,Instagram,2025-09-04,"No cumple con lo anunciado, insatisfecho"
T0006,,P005,Facebook,2025-06-18,"No cumple con lo anunciado, insatisfecho"
T0007,C036,P017,Twitter,2025-07-20,"No funciona como esperaba, decepcionado"
T0008,,P017,Instagram,2025-08-25,"Me encanta este producto, excelente calidad"
T0009,C021,P010,Facebook,2025-07-09,"Información suficiente, sin mayor novedad"
T0010,,P010,Facebook,2025-08-28,Gran relación calidad-precio
T0011,,P010,Instagram,2025-07-01,"Muy satisfecho con la compra, lo recomiendo"
T0012,C040,P005,Facebook,2025-07-03,Satisface lo básico
T0013,,P002,Instagram,2025-07-02,"Me encanta este producto, excelente calidad"
T0014,,P009,Instagram,2025-06-24,"Entrega correcta, sin comentarios adicionales"
T0015,C035,P001,Facebook,2025-08-13,Producto llegó rápido y funciona perfecto
T0016,C005,P013,Facebook,2025-07-22,"No funciona como esperaba, decepcionado"
T0017,C022,P016,Instagram,2025-08-04,Envío tardío y producto dañado
T0018,,P012,Instagram,2025-07-04,Producto llegó rápido y funciona perfecto
T0019,C030,P004,Twitter,2025-08-26,"Calidad superior, muy contento"
T0020,C025,P004,Twitter,2025-08-24,"Entrega correcta, sin comentarios adicionales"
T0021,,P011,Twitter,2025-07-12,"Información suficiente, sin mayor novedad"
T0022,C020,P017,Facebook,2025-07-11,"Muy mala calidad, se rompió rápido"
T0023,,P015,Twitter,2025-09-07,Producto llegó rápido y funciona perfecto
T0024,C031,P010,Twitter,2025-07-20,"Me encanta este producto, excelente calidad"
T0025,,P005,Facebook,2025-09-08,"Entrega correcta, sin comentarios adicionales"
T0026,C036,P013,Facebook,2025-09-04,Gran relación calidad-precio
T0027,C036,P013,Instagram,2025-06-27,Gran relación calidad-precio
T0028,C007,P004,Instagram,2025-07-29,Producto llegó rápido y funciona perfecto
T0029,C033,P005,Twitter,2025-09-09,"Muy mala calidad, se rompió rápido"
T0030,,P005,Facebook,2025-08-25,Satisface lo básico
T0031,,P020,Facebook,2025-08-24,Gran relación calidad-precio
T0032,,P013,Instagram,2025-08-01,"Es lo que esperaba, nada excepcional"
T0033,,P017,Facebook,2025-07-15,Pésima atención al cliente
T0034,C008,P001,Facebook,2025-06-17,Satisface lo básico
T0035,C017,P001,Instagram,2025-08-15,Satisface lo básico
T0036,C011,P002,Facebook,2025-08-26,Pésima atención al cliente
T0037,C008,P008,Facebook,2025-07-22,"Calidad superior, muy contento"
T0038,C014,P005,Facebook,2025-09-06,Pésima atención al cliente
T0039,C036,P005,Instagram,2025-07-27,"Calidad superior, muy contento"
T0040,,P011,Facebook,2025-07-06,Pésima atención al cliente
T0041,,P012,Instagram,2025-07-14,"Es lo que esperaba, nada excepcional"
T0042,,P007,Twitter,2025-08-06,Producto llegó rápido y funciona perfecto
T0043,,P010,Facebook,2025-07-14,"No cumple con lo anunciado, insatisfecho"
T0044,C018,P012,Instagram,2025-07-06,Gran relación calidad-precio
T0045,,P013,Twitter,2025-08-07,Producto llegó rápido y funciona perfecto
T0046,C006,P002,Instagram,2025-08-12,"Calidad superior, muy contento"
